route,num_operators,total_flights_season,avg_weekly_frequency,hhi,top_operator,top_operator_share_pct,market_structure
JHARSUGUDA-KOLKATA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
JEYPORE-VISAKHAPATNAM,1,418.0,13.9,10000.0,GSEC Monarch & Deccan Aviation,100.0,Monopoly
JAMSHEDPUR-KOLKATA,1,418.0,13.9,10000.0,GSEC Monarch & Deccan Aviation,100.0,Monopoly
BHUBANESWAR-JHARSUGUDA,1,209.0,7.0,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
BHUBANESWAR-JEYPORE,1,835.0,27.8,10000.0,GSEC Monarch & Deccan Aviation,100.0,Monopoly
BHUBANESWAR-JAMSHEDPUR,1,417.0,13.9,10000.0,GSEC Monarch & Deccan Aviation,100.0,Monopoly
BHUBANESWAR-INDORE,1,0.1,0.0,10000.0,IndiGo,100.0,Monopoly
BHUBANESWAR-HYDERABAD,1,1666.6,55.6,10000.0,IndiGo,100.0,Monopoly
BHUBANESWAR-GUWAHATI,1,417.1,13.9,10000.0,IndiGo,100.0,Monopoly
BHUBANESWAR-CHENNAI,1,834.3,27.8,10000.0,IndiGo,100.0,Monopoly
BHOPAL-RAIPUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
BHOPAL-PUNE,1,417.1,13.9,10000.0,IndiGo,100.0,Monopoly
BHOPAL-NAVI MUMBAI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
BHOPAL-HYDERABAD,1,836.0,27.9,10000.0,IndiGo,100.0,Monopoly
BHAVNAGAR-NAVI MUMBAI,1,836.0,27.9,10000.0,IndiGo,100.0,Monopoly
BHATINDA-DELHI,1,297.1,9.9,10000.0,Alliance Air,100.0,Monopoly
BILASPUR-DELHI,1,178.7,6.0,10000.0,Alliance Air,100.0,Monopoly
BIKANER-DELHI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
BHUJ-SURAT,1,357.4,11.9,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
BHUBANESWAR-VISAKHAPATNAM,1,103.6,3.5,10000.0,IndiGo,100.0,Monopoly
BHUBANESWAR-VARANASI,1,237.7,7.9,10000.0,IndiGo,100.0,Monopoly
BHUBANESWAR-UTKELA,1,835.0,27.8,10000.0,GSEC Monarch & Deccan Aviation,100.0,Monopoly
BHUBANESWAR-ROURKELA,1,418.0,13.9,10000.0,GSEC Monarch & Deccan Aviation,100.0,Monopoly
