route,operator,flights_in_season,route_total,share_pct
BENGALURU-BHUBANESWAR,Akasa Air,835.1428571428571,3319.0,25.16
BENGALURU-BHUBANESWAR,Air India Express,834.1428571428571,3319.0,25.13
BENGALURU-BIDAR,Ghodawat Enterprises (Fly91),411.2857142857143,411.2857142857143,100.0
BENGALURU-CHANDIGARH,IndiGo,1248.142857142857,2015.857142857143,61.92
BENGALURU-CHANDIGARH,Air India Express,767.7142857142858,2015.857142857143,38.08
BENGALURU-CHENNAI,IndiGo,3203.714285714286,5708.142857142857,56.13
BENGALURU-CHENNAI,Air India Express,2086.428571428572,5708.142857142857,36.55
BENGALURU-CHENNAI,SpiceJet,418.0,5708.142857142857,7.32
BENGALURU-COIMBATORE,IndiGo,2540.0,2540.0,100.0
BENGALURU-DARBHANGA,Akasa Air,410.0,410.0,100.0
BENGALURU-DEHRADUN,IndiGo,447.0,865.0,51.68
BENGALURU-DEHRADUN,Air India Express,418.0,865.0,48.32
BENGALURU-DELHI,Air India,7900.571428571428,18099.85714285714,43.65
BENGALURU-DELHI,IndiGo,7095.142857142857,18099.85714285714,39.2
BENGALURU-DELHI,Akasa Air,1432.428571428571,18099.85714285714,7.91
BENGALURU-DELHI,Air India Express,1017.7142857142858,18099.85714285714,5.62
BENGALURU-DELHI,SpiceJet,654.0,18099.85714285714,3.61
BENGALURU-DEOGHAR,IndiGo,417.0,417.0,100.0
BENGALURU-DURGAPUR,IndiGo,417.0,417.0,100.0
BENGALURU-GOA,IndiGo,2543.0,3751.857142857143,67.78
BENGALURU-GOA,Air India Express,1030.142857142857,3751.857142857143,27.46
BENGALURU-GOA,Alliance Air,178.71428571428572,3751.857142857143,4.76
BENGALURU-GORAKHPUR,Akasa Air,417.0,820.2857142857142,50.84
BENGALURU-GORAKHPUR,IndiGo,403.2857142857143,820.2857142857142,49.16
BENGALURU-GUWAHATI,Air India Express,1249.142857142857,2704.285714285714,46.19
BENGALURU-GUWAHATI,IndiGo,835.0,2704.285714285714,30.88
BENGALURU-GUWAHATI,Akasa Air,620.1428571428571,2704.285714285714,22.93
BENGALURU-GWALIOR,Air India Express,417.1428571428571,446.1428571428571,93.5
BENGALURU-GWALIOR,Akasa Air,29.0,446.1428571428571,6.5
BENGALURU-HINDON,IndiGo,416.1428571428571,416.1428571428571,100.0
BENGALURU-HUBLI,IndiGo,830.4285714285714,848.4285714285714,97.88
BENGALURU-HUBLI,JustUdo Aviation (IndiaOne Air),18.0,848.4285714285714,2.12
BENGALURU-HYDERABAD,IndiGo,4204.714285714285,7176.571428571428,58.59
BENGALURU-HYDERABAD,Air India Express,2497.714285714286,7176.571428571428,34.8
BENGALURU-HYDERABAD,Ghodawat Enterprises (Fly91),474.1428571428572,7176.571428571428,6.61
BENGALURU-INDORE,IndiGo,1249.428571428571,1663.142857142857,75.12
BENGALURU-INDORE,Air India Express,413.7142857142857,1663.142857142857,24.88
BENGALURU-JABALPUR,IndiGo,417.0,417.0,100.0
BENGALURU-JAIPUR,IndiGo,1308.2857142857142,2133.142857142857,61.33
BENGALURU-JAIPUR,Air India Express,824.8571428571428,2133.142857142857,38.67
BENGALURU-JAMMU,IndiGo,234.57142857142856,234.57142857142856,100.0
BENGALURU-JHARSUGUDA,IndiGo,416.0,416.0,100.0
BENGALURU-JODHPUR,IndiGo,202.28571428571428,354.85714285714283,57.0
BENGALURU-JODHPUR,Air India Express,152.57142857142856,354.85714285714283,43.0
BENGALURU-KANNUR,IndiGo,585.7142857142858,1000.2857142857144,58.55
BENGALURU-KANNUR,Air India Express,414.57142857142856,1000.2857142857144,41.45
BENGALURU-KANPUR,IndiGo,234.42857142857144,234.42857142857144,100.0
BENGALURU-KOCHI,IndiGo,2895.428571428572,5126.857142857143,56.48
BENGALURU-KOCHI,Air India Express,1250.142857142857,5126.857142857143,24.38
BENGALURU-KOCHI,Akasa Air,535.7142857142858,5126.857142857143,10.45
BENGALURU-KOCHI,Alliance Air,416.57142857142856,5126.857142857143,8.13
BENGALURU-KOCHI,SpiceJet,29.0,5126.857142857143,0.57
BENGALURU-KOLHAPUR,IndiGo,417.0,417.0,100.0
BENGALURU-KOLKATA,IndiGo,4340.571428571428,6810.428571428572,63.73
BENGALURU-KOLKATA,Air India Express,1249.857142857143,6810.428571428572,18.35
BENGALURU-KOLKATA,Akasa Air,802.0,6810.428571428572,11.78
BENGALURU-KOLKATA,SpiceJet,418.0,6810.428571428572,6.14
BENGALURU-KOZHIKODE,Air India Express,841.4285714285714,1788.7142857142858,47.04
BENGALURU-KOZHIKODE,IndiGo,531.8571428571429,1788.7142857142858,29.73
BENGALURU-KOZHIKODE,Akasa Air,415.4285714285714,1788.7142857142858,23.22
BENGALURU-KURNOOL,IndiGo,177.42857142857144,177.42857142857144,100.0
BENGALURU-LUCKNOW,IndiGo,2050.5714285714284,3301.285714285714,62.11
BENGALURU-LUCKNOW,Air India Express,833.5714285714286,3301.285714285714,25.25
BENGALURU-LUCKNOW,Akasa Air,417.1428571428571,3301.285714285714,12.64
BENGALURU-MADURAI,IndiGo,1857.0,1857.142857142857,99.99
BENGALURU-MADURAI,Air India Express,0.1428571428571428,1857.142857142857,0.01
BENGALURU-MANGALORE,IndiGo,2746.1428571428573,3603.7142857142862,76.2
BENGALURU-MANGALORE,Air India Express,857.5714285714287,3603.7142857142862,23.8
BENGALURU-MOPA,IndiGo,1159.857142857143,1863.7142857142856,62.23
BENGALURU-MOPA,Air India Express,411.8571428571429,1863.7142857142856,22.1
BENGALURU-MOPA,Ghodawat Enterprises (Fly91),292.0,1863.7142857142856,15.67
BENGALURU-MUMBAI,IndiGo,6214.428571428572,13273.428571428572,46.82
BENGALURU-MUMBAI,Air India,4800.428571428572,13273.428571428572,36.17
BENGALURU-MUMBAI,Akasa Air,1422.428571428571,13273.428571428572,10.72
