route,max_pax,min_pax,avg_pax,annual_pax,seasonality_index,peak_month
AIZAWL-DELHI,19081,9293,12349.833333333334,148198,79.3,December
BAGDOGRA-HYDERABAD,48381,19063,37205.25,446463,78.8,May
KOLKATA-SURAT,24101,9571,18564.416666666668,222773,78.3,December
DELHI-KANPUR,20365,9133,14368.75,172425,78.2,December
KOLKATA-SHILLONG,12649,5680,8963.5,107562,77.7,December
DELHI-DHARAMSALA,45879,21439,31538.83333333333,378466,77.5,June
BENGALURU-BHOPAL,42522,16631,34182.25,410187,75.7,October
AHMEDABAD-AMRITSAR,19253,8965,13635.166666666666,163622,75.5,March
GOA-NASIK,6366,3100,4334.0,52008,75.4,June
HYDERABAD-THIRUVANANTHAPURAM,61512,28541,43780.5,525366,75.3,December
DELHI-JHARSUGUDA,21823,8078,18276.666666666668,219320,75.2,December
BHUBANESWAR-ROURKELA,5925,2318,4801.666666666667,57620,75.1,April
KOLKATA-PORT BLAIR,122294,55227,89743.91666666667,1076927,74.7,December
